action,center_ch1,center_error_to_target,center_ival,ch1,ch1_max,ch1_mean,ch1_min,ch1_ptp,ch1_std,ch2,ch2_max,ch2_mean,ch2_min,ch2_ptp,drop_from_baseline,elapsed_s,error_to_target,i_gain,index,ival,ival_drift,ival_end,ival_saturated,ival_start,local_drop,max_abs_delta_ch1,minus_ch1,minus_delta_ch1,n,ok,out2_saturated,p,periodic_or_large,phase,platform_like,plus_ch1,plus_delta_ch1,probe_inconclusive,probe_min_ch1_change,probe_point,readback_i,readback_ival,readback_p,reason,requested_i,requested_ival,requested_p,selected_direction,selected_start,selected_step,selected_stop_limit,setting,t_s,target_crossings,target_error_mean,too_deep
,,,,0.0926513671875,,,,,,-0.05517578125,,,,,,37.087995529174805,,-49.99800747417374,1,-0.0577392578125,,,,,,,,,,,,-0.0009765625,,i_test,,,,,,,,,,,,,,,,,,-50.0,0.5852208137512207,,,
,,,,0.0986328125,,,,,,-0.061279296875,,,,,,37.63105058670044,,-49.99800747417374,2,-0.06103515625,,,,,,,,,,,,-0.0009765625,,i_test,,,,,,,,,,,,,,,,,,-50.0,1.1282758712768555,,,
,,,,0.09326171875,,,,,,-0.0614013671875,,,,,,38.203553915023804,,-49.99800747417374,3,-0.061279296875,,,,,,,,,,,,-0.0009765625,,i_test,,,,,,,,,,,,,,,,,,-50.0,1.7007791996002197,,,
,,,,0.0872802734375,,,,,,-0.0552978515625,,,,,,38.76263380050659,,-49.99800747417374,4,-0.05322265625,,,,,,,,,,,,-0.0009765625,,i_test,,,,,,,,,,,,,,,,,,-50.0,2.259859085083008,,,
,,,,0.0855712890625,,,,,,-0.050537109375,,,,,,39.32298755645752,,-49.99800747417374,5,-0.0498046875,,,,,,,,,,,,-0.0009765625,,i_test,,,,,,,,,,,,,,,,,,-50.0,2.8202128410339355,,,
,,,,,0.0986328125,0.09232584635416667,0.0855712890625,0.0130615234375,0.0046502576553807354,,-0.050537109375,-0.05657958984375,-0.0614013671875,0.0108642578125,,39.32298755645752,,,,,0.0032958984375,-0.0498046875,False,-0.0531005859375,,,,,6,True,False,,False,i_test_summary,False,,,,,,-49.99800747417374,,,,-50.0,,,,,,,-50.0,,3,-0.0014851888020833287,False
,,,,0.0792236328125,,,,,,-0.052001953125,,,,,,39.946040630340576,,-100.00064696682759,0,-0.052490234375,,,,,,,,,,,,-0.0009765625,,i_test,,,,,,,,,,,,,,,,,,-100.0,0.0,,,
,,,,0.0947265625,,,,,,-0.04736328125,,,,,,40.516823530197144,,-100.00064696682759,1,-0.0478515625,,,,,,,,,,,,-0.0009765625,,i_test,,,,,,,,,,,,,,,,,,-100.0,0.5707828998565674,,,
,,,,0.0977783203125,,,,,,-0.048095703125,,,,,,41.075403451919556,,-100.00064696682759,2,-0.0489501953125,,,,,,,,,,,,-0.0009765625,,i_test,,,,,,,,,,,,,,,,,,-100.0,1.1293628215789795,,,
,,,,0.08935546875,,,,,,-0.04345703125,,,,,,41.63038110733032,,-100.00064696682759,3,-0.0367431640625,,,,,,,,,,,,-0.0009765625,,i_test,,,,,,,,,,,,,,,,,,-100.0,1.684340476989746,,,
,,,,0.10693359375,,,,,,-0.031494140625,,,,,,42.19226384162903,,-100.00064696682759,4,-0.0374755859375,,,,,,,,,,,,-0.0009765625,,i_test,,,,,,,,,,,,,,,,,,-100.0,2.246223211288452,,,
,,,,0.08544921875,,,,,,-0.02587890625,,,,,,42.766040086746216,,-100.00064696682759,5,-0.034912109375,,,,,,,,,,,,-0.0009765625,,i_test,,,,,,,,,,,,,,,,,,-100.0,2.8199994564056396,,,
,,,,,0.10693359375,0.09224446614583333,0.0792236328125,0.0277099609375,0.008912711968858006,,-0.02587890625,-0.0413818359375,-0.052001953125,0.026123046875,,42.766040086746216,,,,,0.017578125,-0.034912109375,False,-0.052490234375,,,,,6,True,False,,False,i_test_summary,False,,,,,,-100.00064696682759,,,,-100.0,,,,,,,-100.0,,4,-0.0015665690104166713,False
